Пореден Номер	 |    Начало	 | 	Край	 | 	Времетраене	 | 	Условие	 | 	Резултат							|		Бележки			  |

1		 |	13:01	 |      13:04    |	3 мин		 | стр 188 зад. 1|	D:\student\22324\glava-06/src/glava06/zad1.java			|	Отворете файла с текущия път!!	  |

2		 |	13:05	 |	13:07	 | 	3 мин 		 | стр 188 зад. 2|	D:\student\22324\glava-06/src/glava06/zad2.java			|	Отворете файла с текущия път!!	  |

3		 |	13:08	 |	13:12	 | 	4 мин 		 | стр 188 зад. 3|	D:\student\22324\glava-06/src/glava06/zad3.java			|	Отворете файла с текущия път!!	  |

4		 |	13:13	 |	13:16	 | 	3 мин 		 | стр 188 зад. 4|	D:\student\22324\glava-06/src/glava06/zad4.java			|	Отворете файла с текущия път!!	  |

5		 |	13:17	 |	13:22	 | 	4 мин 		 | стр 188 зад. 5|	D:\student\22324\glava-06/src/glava06/zadacha5.java		|	Отворете файла с текущия път!!	  |

6		 |	13:23	 |	13:28	 | 	5 мин 		 | стр 188 зад. 6|	D:\student\22324\glava-06/src/glava06/zad6.java			|	Отворете файла с текущия път!!	  |

7		 |	13:29	 |	13:34	 | 	5 мин 		 | стр 188 зад. 7|	D:\student\22324\glava-06/src/glava06/zad7.java			|	Отворете файла с текущия път!!	  |

8		 |	13:35	 |	13:45	 | 	10 мин 		 | стр 188 зад. 8|	D:\student\22324\glava-06/src/glava06/zad8.java			|	Отворете файла с текущия път!!	  |

9		 |	13:46	 |	13:53	 | 	7 мин 		 | стр 188 зад. 9|	D:\student\22324\glava-06/src/glava06/zad9.java			|	Отворете файла с текущия път!!	  |

10		 |	13:54	 |	14:00	 | 	5 мин 		 |стр 188 зад. 10|	D:\student\22324\glava-06/src/glava06/zad10.java		|	Отворете файла с текущия път!!	  |

11		 |	14:01	 |	14:10	 | 	9 мин 		 |стр 188 зад. 11|	D:\student\22324\glava-06/src/glava06/zad11.java		|	Отворете файла с текущия път!!	  |

12		 |	14:10	 |	14:13	 | 	3 мин 		 |стр 188 зад. 12|	D:\student\22324\glava-06/src/glava06/zad12.java		|	Отворете файла с текущия път!!	  |

13		 |	14:13	 |	14:20	 | 	7 мин 		 |стр 188 зад. 13|	D:\student\22324\glava-06/src/glava06/zad13.java		|	Отворете файла с текущия път!!	  |

14		 |	14:20	 |	14:25	 | 	5 мин 		 |стр 188 зад. 14|	D:\student\22324\glava-06/src/glava06/zad14.java		|	Отворете файла с текущия път!!	  |

15		 |	14:25	 |	14:35	 | 	10 мин 		 |стр 188 зад. 15|	D:\student\22324\glava-06/src/glava06/zad15.java		|	Отворете файла с текущия път!!	  |

16		 |	14:35	 |	14:50	 | 	15 мин 		 |стр 188 зад. 16|	D:\student\22324\glava-06/src/glava06/zad16.java		|	Отворете файла с текущия път!!	  |

